codigo_rec;recinto;Direccion;comuna;region;
2484;COLEGIO HARAS LOS CONDORES;CAMINO NOS A LOS MORROS 1418  ;SAN BERNARDO;METROPOLITANA DE SANTIAGO;
2460;ESCUELA ESCRITORA MARCELA PAZ;RAMON LIBORIO CARVALLO 736  ;SAN BERNARDO;METROPOLITANA DE SANTIAGO;
2503;ESCUELA INTEGRADORA EL MANZANO;CAMINO AL VOLCAN EL MANZANO 11448  ;SAN JOSE DE MAIPO;METROPOLITANA DE SANTIAGO;
2507;COLEGIO TOMAS MORO;CARMEN MENA 882  ;SAN MIGUEL;METROPOLITANA DE SANTIAGO;
70;COLEGIO SAN AGUSTIN;LOS PIMIENTOS 7 LAS ROCAS;ANTOFAGASTA;DE ANTOFAGASTA;
90095;C.P. ALTO HOSPICIO;RUTA A-6-16KM.6,1/2 SECTOR HUANTAJAYA SIN NUMERO  ;ALTO HOSPICIO;DE TARAPACA;
2187;LICEO MUNICIPAL F-860;ALCALDE EDUARDO GARAY 130  ;MARIA PINTO;METROPOLITANA DE SANTIAGO;
10679;CENTRO EDUCACIONAL MENESIANO;EL DIBUJO SIN NUMERO CULIPRAN;MELIPILLA;METROPOLITANA DE SANTIAGO;
2189;COLEGIO ALONSO DE ERCILLA;LIBERTAD 1150  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
2143;ESCUELA ECHAURREN N°2;LAS PARCELAS 3101  ;MAIPU;METROPOLITANA DE SANTIAGO;DE ÑUBLE
2141;ESCUELA BOSTON COLLEGE LA FARFANA;LA SINFONIA 1380  ;MAIPU;METROPOLITANA DE SANTIAGO;
2145;ESCUELA BOSTON COLLEGE MAIPU;AVENIDA LONGITUDINAL 1081  ;MAIPU;METROPOLITANA DE SANTIAGO;
2669;ESCUELA ALEMANIA;LOS PELUES 297 ISLA TEJA;VALDIVIA;DE LOS RIOS;
2146;ESCUELA REINA DE SUECIA;AVENIDA ARQUITECTO HUGO BRAVO 1677  ;MAIPU;METROPOLITANA DE SANTIAGO;
3044;COLEGIO MONSEÑOR JAIME LARRAIN BUNSTER;PARDO 1605  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
2188;COLEGIO NUESTRA SEÑORA DE LA PRESENTACION;VARGAS 290  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
2898;COLEGIO POMAIRE;SAN ANTONIO SIN NUMERO  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
2191;COLEGIO SAN AGUSTIN;VALDES 290  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
10681;COLEGIO SAN AGUSTIN COMERCIAL;SAN MIGUEL 260  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
3005;ESCUELA LAS PEÑAS;CALLE PRINCIPAL SIN NUMERO SECTOR LAS PEÑAS;LLAY-LLAY;DE VALPARAISO;
2556;ESCUELA CADETE ARTURO PRAT CHACON;SAN IGNACIO 196  ;SANTIAGO;METROPOLITANA DE SANTIAGO;
3223;COLEGIO JOSE ARRIETA;JOSE ARRIETA 6870  ;LA REINA;METROPOLITANA DE SANTIAGO;
10696;COLEGIO SAN MANUEL;POLICARPO TORO 1100  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
2192;ESCUELA REPUBLICA DEL BRASIL;RIQUELME 850  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
2923;COLEGIO BETANIA;CLAUDIO VICUÑA 1150  ;TEMUCO;DE LA ARAUCANIA;
10737;ESCUELA SANTA ROSA ESMERALDA;CAMINO A SAN ANTONIO SIN NUMERO  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
2193;LICEO GABRIELA MISTRAL DE MELIPILLA;SERRANO 183  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
2195;LICEO HERMANOS SOTOMAYOR BAEZA;PARDO 340  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
2194;LICEO POLITECNICO MELIPILLA;VICUÑA MACKENNA 0383-B  ;MELIPILLA;METROPOLITANA DE SANTIAGO;
13238;BOSTON ACADEMY LAGUNA DEL SOL;SANTA HERMINIA PONIENTE 701  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2229;CENTRO DE EMPRENDIMIENTO;PRIMERA TRANSVERSAL 953  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2224;COLEGIO ALBERTO HURTADO CRUCHAGA;LOS SILOS 403  ;PADRE HURTADO;METROPOLITANA DE SANTIAGO;
2318;ESCUELA ALBERT EINSTEIN;JAZMIN 1266  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2319;ESCUELA ALEXANDER GRAHAM BELL;MAR CARIBE 1192  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
2830;ESCUELA BASICA EL CASINO;KILOMETRO 12 SIN NUMERO CERRO NEGRO;QUILLON;DE ÑUBLE;
2304;COLEGIO THE KENT SCHOOL;AVENIDA PEDRO DE VALDIVIA 2176  ;PROVIDENCIA;METROPOLITANA DE SANTIAGO;
2301;COLEGIO PEDRO DE VALDIVIA;AVENIDA PEDRO DE VALDIVIA 1939  ;PROVIDENCIA;METROPOLITANA DE SANTIAGO;
2307;INSTITUTO PROFESIONAL DUOC;ANTONIO VARAS 666  ;PROVIDENCIA;METROPOLITANA DE SANTIAGO;
2303;COLEGIO SAN IGNACIO EL BOSQUE;AVENIDA POCURO 2801  ;PROVIDENCIA;METROPOLITANA DE SANTIAGO;
2314;COLEGIO MANQUECURA CIUDAD DE LOS VALLES;AV EL CANAL 19877  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
11073;ESCUELA CHRIST SCHOOL DE PUDAHUEL;LA TRAVESIA 7825  ;PUDAHUEL;METROPOLITANA DE SANTIAGO;
