codigo_rec;recinto;Direccion;comuna;region;
1435;ESCUELA MUNICIPAL EL TRENCITO;ANTONIO VARAS 1499  ;TEMUCO;DE LA ARAUCANIA;
1421;ESCUELA PARTICULAR MONO PAINE;CHIVILCAN 890  ;TEMUCO;DE LA ARAUCANIA;
8382;ESCUELA PARTICULAR N° 166 MILLANTU;RENGALIL BAJO KILOMETRO 17,5 VILLA CARMEN DE LAS ROSAS;TEMUCO;DE LA ARAUCANIA;
8375;ESCUELA PARTICULAR N° 484 EL CRUCERO;TROMEN MALLIN KILOMETRO 10  ;TEMUCO;DE LA ARAUCANIA;
2845;INSTITUTO SANTA MARIA DE SAN CARLOS;BILBAO 441  ;SAN CARLOS;DE ÑUBLE;
3491;ESCUELA PEDRO DE VALDIVIA;AVENIDA PEDRO DE VALDIVIA 991 ESQUINA VENEZUELA;TEMUCO;DE LA ARAUCANIA;
3621;ESCUELA SANTA MARIA DE LA RIBERA;TEGUALDA 1696  ;TEMUCO;DE LA ARAUCANIA;
1436;ESCUELA SANTA ROSA;CATRIHUALA 485 ESQUINA CALPUCURA;TEMUCO;DE LA ARAUCANIA;
1422;ESCUELA VILLA ALEGRE;CONCEPCION 1165  ;TEMUCO;DE LA ARAUCANIA;
1423;ESCUELA VILLA CAROLINA;BOYECO 561 ESQUINA PEDRO DE VALDIVIA;TEMUCO;DE LA ARAUCANIA;
1428;FUNDACION EDUCACIONAL COLEGIO PROVIDENCIA;GENERAL CRUZ 198  ;TEMUCO;DE LA ARAUCANIA;
1413;GEORGE CHAYTOR ENGLISH COLLEGE;AVENIDA GABRIELA MISTRAL 3015  ;TEMUCO;DE LA ARAUCANIA;
1412;GREEN HOUSE SCHOOL;INES DE SUAREZ 1500  ;TEMUCO;DE LA ARAUCANIA;
1407;LICEO BICENTENARIO DE TEMUCO;AVENIDA CAUPOLICAN 105  ;TEMUCO;DE LA ARAUCANIA;
1408;LICEO CAMILO HENRIQUEZ DE TEMUCO;AVENIDA ANDES 620  ;TEMUCO;DE LA ARAUCANIA;
1448;LICEO CIENTIFICO HUMANISTA BRAINSTORM;MANUEL RECABARREN 3480  ;TEMUCO;DE LA ARAUCANIA;
1449;LICEO DEL DESARROLLO;MANTUA 1896  ;TEMUCO;DE LA ARAUCANIA;
1433;LICEO GABRIELA MISTRAL;ANTONIO VARAS 630  ;TEMUCO;DE LA ARAUCANIA;
3081;LICEO JAN COMENIUS;CAMINO TEMUCO LABRANZA KILOMETRO 7  ;TEMUCO;DE LA ARAUCANIA;
1411;LICEO PABLO NERUDA;BALMACEDA 659  ;TEMUCO;DE LA ARAUCANIA;
1443;LICEO POLITECNICO PUEBLO NUEVO;NAHUELBUTA 1590  ;TEMUCO;DE LA ARAUCANIA;
3206;LICEO TECNICO PROFESIONAL CENTENARIO;DIEGO PORTALES 2165  ;TEMUCO;DE LA ARAUCANIA;
1420;SUN FLOWER SCHOOL;3 NORTE 220 LABRANZA;TEMUCO;DE LA ARAUCANIA;
1444;UNIVERSIDAD CATOLICA - CAMPUS SAN JUAN PABLO SEGUNDO;RUDECINDO ORTEGA 2950  ;TEMUCO;DE LA ARAUCANIA;
1453;COMPLEJO EDUCACIONAL PUBLICO NUEVA ALBORADA;MATEO DE TORO Y ZAMBRANO 439  ;TEODORO SCHMIDT;DE LA ARAUCANIA;
3627;ESCUELA P-34 BAUTISTA;ARTURO PRAT 349 HUALPIN;TEODORO SCHMIDT;DE LA ARAUCANIA;
1454;ESCUELA PARTICULAR N° 9 PADRE ALEJANDRO ORTEGA;BERNARDO O'HIGGINS 675  ;TEODORO SCHMIDT;DE LA ARAUCANIA;
1452;ESCUELA PUBLICA HORIZONTES;PEDRO AGUIRRE CERDA 210 HUALPIN;TEODORO SCHMIDT;DE LA ARAUCANIA;
1451;LICEO PUBLICO BARROS ARANA;3 ORIENTE 20 BARROS ARANA;TEODORO SCHMIDT;DE LA ARAUCANIA;
1457;ESCUELA PARTICULAR SUBVENCIONADA PADRE ISIDORO;AVENIDA COSTANERA SIN NUMERO QUEULE;TOLTEN;DE LA ARAUCANIA;
1456;ESCUELA PUBLICA AGUAS Y GAVIOTAS;SAN MARTIN SIN NUMERO ESQUINA BULNES;TOLTEN;DE LA ARAUCANIA;
8449;ESCUELA PUBLICA AMANECER DE VILLA LOS BOLDOS;GENERAL IBAÑEZ 450  ;TOLTEN;DE LA ARAUCANIA;
1455;LICEO BICENTENARIO MARTIN KLEINKNECHT PALMA;JOSE MARIA CARO 564  ;TOLTEN;DE LA ARAUCANIA;
1459;COMPLEJO EDUCACIONAL LUIS DURAND DURAND;BASILIO URRUTIA 507  ;TRAIGUEN;DE LA ARAUCANIA;
1460;ESCUELA BASICA EMILIA ROMAGNA;AVENIDA SUIZA 1002  ;TRAIGUEN;DE LA ARAUCANIA;
3034;ESCUELA GUACOLDA;EL QUILLAY 809  ;TRAIGUEN;DE LA ARAUCANIA;
1008;ANEXO ENRIQUE ZAÑARTU PRIETO;AVENIDA VIAL SIN NUMERO CABRERO PONIENTE;CABRERO;DEL BIOBIO;
1462;LICEO LUCILA GODOY ALCAYAGA;BASILIO URRUTIA 970  ;TRAIGUEN;DE LA ARAUCANIA;
2982;COLEGIO EL LABRADOR;PORTALES 1021  ;VICTORIA;DE LA ARAUCANIA;
3209;COMPLEJO EDUCACIONAL VICTORIA;JOSE MIGUEL CARRERA 1405  ;VICTORIA;DE LA ARAUCANIA;
1463;ESCUELA BASICA PATRICIO LYNCH;BAQUEDANO 260 PUA;VICTORIA;DE LA ARAUCANIA;
1469;ESCUELA HEROES DE IQUIQUE;AVENIDA ARTURO PRAT 1520  ;VICTORIA;DE LA ARAUCANIA;
1464;ESCUELA MUNICIPAL MONICA GEBERT MEIER;GABRIELA MISTRAL 87 QUINO;VICTORIA;DE LA ARAUCANIA;
1465;ESCUELA SELVA OSCURA;ALTAMIRANO SIN NUMERO SELVA OSCURA;VICTORIA;DE LA ARAUCANIA;
1470;LICEO BICENTENARIO POLITECNICO MANUEL MONTT;AVENIDA DARTNELL 1358  ;VICTORIA;DE LA ARAUCANIA;
1471;LICEO JORGE ALESSANDRI RODRIGUEZ;URRUTIA 647  ;VICTORIA;DE LA ARAUCANIA;
3168;UNIVERSIDAD ARTURO PRAT;AVENIDA O'HIGGINS 195  ;VICTORIA;DE LA ARAUCANIA;
1473;COMPLEJO EDUCACIONAL LA GRANJA;ARTURO PRAT 181 CAJON;VILCUN;DE LA ARAUCANIA;
2924;ESCUELA DAGOBERTO GODOY FUENTEALBA;LUIS VERGARA 526 SAN PATRICIO;VILCUN;DE LA ARAUCANIA;
1474;ESCUELA JAPON;JAPON SIN NUMERO CHERQUENCO;VILCUN;DE LA ARAUCANIA;
3633;ESCUELA MONTERREY;ALEJANDRO URRUTIA 485 CAJON;VILCUN;DE LA ARAUCANIA;
1477;ESCUELA PARTICULAR NUMERO 8 VILCUN;CHORRILLOS 363  ;VILCUN;DE LA ARAUCANIA;
8520;ESCUELA PARTICULAR N° 187 SANTA TERESITA;SECTOR EL ALAMBRADO KILOMETRO 15  ;VILCUN;DE LA ARAUCANIA;
13156;ESCUELA VIRGEN DE FATIMA;LUIS CRUZ MARTINEZ SIN NUMERO GENERAL LOPEZ;VILCUN;DE LA ARAUCANIA;
1476;LICEO BICENTENARIO PADRE NICOLAS;ALMIRANTE LATORRE 242  ;VILCUN;DE LA ARAUCANIA;
8527;COLEGIO CAMILO HENRIQUEZ DE PEDREGOSO;CAMINO VILLARRICA LOS LAURELES KILOMETRO 12  ;VILLARRICA;DE LA ARAUCANIA;
8550;COLEGIO CLAUDIO ARRAU;CAMINO VILLARRICA A LICAN-RAY KILOMETRO 2.5 SECTOR RELUN;VILLARRICA;DE LA ARAUCANIA;
1480;COLEGIO DE HUMANIDADES DEL SAGRADO CORAZON DE JESUS;GERONIMO DE ALDERETE 1027  ;VILLARRICA;DE LA ARAUCANIA;
13236;COLEGIO DE HUMANIDADES SEDE SEGUNDA FAJA;AVENIDA SEGUNDA FAJA 1380  ;VILLARRICA;DE LA ARAUCANIA;
3030;COLEGIO JUAN XXIII;AVENIDA SEGUNDA FAJA AL VOLCAN 2000  ;VILLARRICA;DE LA ARAUCANIA;DEL BIOBIO
2876;COLEGIO SAINT MATTHEW;COLO COLO 1898  ;VILLARRICA;DE LA ARAUCANIA;
1483;ESCUELA JOSE ABELARDO NUÑEZ;NUÑEZ DE PINEDA 715  ;VILLARRICA;DE LA ARAUCANIA;
1484;ESCUELA MARIANO LATORRE;FRANCISCO CORNEJO 1410  ;VILLARRICA;DE LA ARAUCANIA;
1485;ESCUELA PARTICULAR SAGRADA FAMILIA;JOSE MANUEL BALMACEDA 600  ;VILLARRICA;DE LA ARAUCANIA;
1486;ESCUELA VALENTIN LETELIER;ANDRES BELLO 365  ;VILLARRICA;DE LA ARAUCANIA;
1479;ESCUELA VOIPIR DE ÑANCUL;JUAN CONTRERAS 256 ÑANCUL;VILLARRICA;DE LA ARAUCANIA;
1487;LICEO BICENTENARIO ARAUCANIA;PEDRO LEON GALLO 895  ;VILLARRICA;DE LA ARAUCANIA;
1488;LICEO BICENTENARIO ARTISTICO ALEXANDER GRAHAM BELL;FRANCISCO BILBAO 1202  ;VILLARRICA;DE LA ARAUCANIA;
1032;COLEGIO MARINA DE CHILE;MARINA DE CHILE 2836 LORENZO ARENAS;CONCEPCION;DEL BIOBIO;
8532;LICEO BICENTENARIO DE EXCELENCIA SAN AGUSTIN;CACIQUE MILLAÑANCO SIN NUMERO LICAN RAY;VILLARRICA;DE LA ARAUCANIA;
1489;LICEO BICENTENARIO POLITECNICO VILLARRICA;AVENIDA JUAN ANTONIO RIOS 1133  ;VILLARRICA;DE LA ARAUCANIA;
3048;ESCUELA VALLE EL FRIO;VILLA SANTA LUCIA SIN NUMERO  ;CHAITEN;DE LOS LAGOS;
3637;LICEO PARTICULAR SUBVENCIONADO LIBERTAD;GENERAL URRUTIA 935 LICAN RAY;VILLARRICA;DE LA ARAUCANIA;
3057;C.E.I.A. SALOMON FUENTES MARTINEZ Y GIMNASIO (EX ESC. FATIMA);RODOLFO SCHULBACH SIN NUMERO ANCUD;ANCUD;DE LOS LAGOS;
1496;ESCUELA PUDETO;LAS PALMERAS SIN NUMERO ANCUD;ANCUD;DE LOS LAGOS;
8607;ESCUELA RURAL EL PALOMAR;RUTA 5 SUR KILOMETRO 29 SIN NUMERO ANCUD;ANCUD;DE LOS LAGOS;
1498;ESCUELA RURAL SOL DEL PACIFICO;SECTOR RURAL PILLUCO SIN NUMERO  ;ANCUD;DE LOS LAGOS;
1497;ESCUELA RURAL VILLA CHACAO;BELLAVISTA 225 CHACAO;ANCUD;DE LOS LAGOS;
3055;ESCUELA YERBAS BUENAS Y GIMNASIO;YERBAS BUENAS 851 ANCUD;ANCUD;DE LOS LAGOS;
1495;LICEO BICENTENARIO DE ANCUD;SAN ANTONIO 50 ANCUD;ANCUD;DE LOS LAGOS;
1492;LICEO POLIVALENTE DE ANCUD Y GIMNASIO (EX DOMINGO ESPIÑEIRA RIESCO);ALMIRANTE LATORRE 555 ANCUD;ANCUD;DE LOS LAGOS;
1500;COLEGIO EULOGIO GOYCOLEA GARAY Y GIMNASIO;GALVARINO RIVEROS 190 CALBUCO;CALBUCO;DE LOS LAGOS;
1501;ESCUELA JOSE MANUEL BALMACEDA;AVENIDA PRESIDENTE IBAÑEZ 151 CALBUCO;CALBUCO;DE LOS LAGOS;
1505;ESCUELA LIBERTADOR GENERAL BERNARDO OHIGGINS RIQUELME;CAMINO CAICAEN KILOMETRO 2 SIN NUMERO CALBUCO;CALBUCO;DE LOS LAGOS;
1508;ESCUELA RURAL CHAUQUEAR;SECTOR RURAL CHAUQUEAR BAJO SIN NUMERO ISLA PULUQUI;CALBUCO;DE LOS LAGOS;
8636;ESCUELA RURAL CHAYAHUE;SECTOR RURAL CHAYAHUE SIN NUMERO CALBUCO;CALBUCO;DE LOS LAGOS;
1509;ESCUELA RURAL PARGUA;ARTURO PRAT SIN NUMERO PARGUA;CALBUCO;DE LOS LAGOS;
13157;ESCUELA SAN JOSE;RUTA V-843 CAMINO SAN ANTONIO SIN NUMERO ISLA QUIHUA, CALBUCO;CALBUCO;DE LOS LAGOS;
1507;ESCUELA UNIFICADA ISLA GUAR;SECTOR QUETROLAUQUEN SIN NUMERO ISLA GUAR;CALBUCO;DE LOS LAGOS;
1504;LICEO FRANCISCO HERNANDEZ ORTIZ-PIZARRO;PEDRO FELIX OYARZUN 421 CALBUCO;CALBUCO;DE LOS LAGOS;
1514;ESCUELA AYTUE;INTENDENTE GARCIA 674 CASTRO;CASTRO;DE LOS LAGOS;
1515;ESCUELA LUIS URIBE DIAZ Y GIMNASIO;SAN MARTIN 554 CASTRO;CASTRO;DE LOS LAGOS;
1520;ESCUELA RURAL LOS ANGELES;SECTOR LOS ANGELES SIN NUMERO ISLA QUEHUI;CASTRO;DE LOS LAGOS;
1521;ESCUELA RURAL MIRTA OYARZO VERA;18 DE SEPTIEMBRE 32 RILAN;CASTRO;DE LOS LAGOS;
1516;ESCUELA RURAL PEDRO VELASQUEZ BONTES;SERRANO 153 SECTOR LLAU LLAO;CASTRO;DE LOS LAGOS;
1518;LICEO  BILINGUE TERESA DE LOS ANDES;ERNESTO NOVOA 1395 CASTRO;CASTRO;DE LOS LAGOS;
1511;LICEO FRANCISCO COLOANE;PABLO NERUDA 810 CASTRO;CASTRO;DE LOS LAGOS;
1517;LICEO GALVARINO RIVEROS CARDENAS Y GIMNASIO;CHACABUCO 356 CASTRO;CASTRO;DE LOS LAGOS;
1512;LICEO POLITECNICO DE CASTRO;FREIRE 540 CASTRO;CASTRO;DE LOS LAGOS;
1513;POLIDEPORTIVO DE CASTRO;RECADERO OBERREUTER 1730 CASTRO;CASTRO;DE LOS LAGOS;
1524;ESCUELA BASICA ALMIRANTE JUAN JOSE LATORRE Y GIMNASIO;LIBERTAD 445 CHAITEN;CHAITEN;DE LOS LAGOS;
3050;ESCUELA RURAL CHUMELDEN;SECTOR RURAL CHUMELDEN COSTA SIN NUMERO  ;CHAITEN;DE LOS LAGOS;
3068;ESCUELA RURAL NUEVA ESPERANZA;SECTOR RURAL ISLA CHULIN SIN NUMERO ISLA DESERTORES;CHAITEN;DE LOS LAGOS;
1522;LICEO PENINSULAR AYACARA;AYACARA SIN NUMERO PENINSULA DE HUEQUI;CHAITEN;DE LOS LAGOS;
1526;ESCUELA BASICA SAN CARLOS;PEDRO AGUIRRE CERDA 201 CHONCHI;CHONCHI;DE LOS LAGOS;
1529;ESCUELA RURAL CUCAO;SECTOR RURAL CUCAO SIN NUMERO  ;CHONCHI;DE LOS LAGOS;
3061;ESCUELA RURAL EL PULPITO;SECTOR RURAL EL PULPITO SIN NUMERO CHONCHI;CHONCHI;DE LOS LAGOS;
1528;ESCUELA RURAL HUILLINCO;SECTOR RURAL HUILLINCO SIN NUMERO CHONCHI;CHONCHI;DE LOS LAGOS;
1527;LICEO MANUEL JESUS ANDRADE BORQUEZ;ROBERTO ANDRADE 330 CHONCHI;CHONCHI;DE LOS LAGOS;
1530;ESCUELA BASICA FRONTERIZA JUAN SOLER MANFREDINI;AVENIDA TENIENTE MERINO SIN NUMERO COCHAMO;COCHAMO;DE LOS LAGOS;
1531;ESCUELA RURAL CAPITAN DE BANDADA CARLOS RODRIGUEZ;LLANADA GRANDE KILOMETRO 33 SIN NUMERO  ;COCHAMO;DE LOS LAGOS;
1532;ESCUELA RURAL RIO PUELO;SANTIAGO BUERAS SIN NUMERO PUELO;COCHAMO;DE LOS LAGOS;
3028;ESCUELA RURAL SAN ANTONIO;RUTA V-699 KILOMETRO 14 SIN NUMERO POCOIHUEN ALTO, COCHAMO;COCHAMO;DE LOS LAGOS;
8756;ESCUELA RURAL SOBERANIA;SECTOR PASO EL LEON SIN NUMERO  ;COCHAMO;DE LOS LAGOS;
1533;LICEO ALFREDO BARRIA OYARZUN;PROLONGACION GOLETA ANCUD 20  ;CURACO DE VELEZ;DE LOS LAGOS;
1534;ESCUELA BASICA DALCAHUE;AVENIDA MOCOPULLI 345 INTERIOR, DALCAHUE;DALCAHUE;DE LOS LAGOS;
3238;ESCUELA RURAL JOSE DANIEL BAHAMONDE BAHAMONDE;SECTOR RURAL PUCHAURAN SIN NUMERO DALCAHUE;DALCAHUE;DE LOS LAGOS;
1536;ESCUELA RURAL JUAN VICTORINO TANGOL;TENAUN SIN NUMERO  ;DALCAHUE;DE LOS LAGOS;
3086;ESCUELA RURAL MALLINLEMU;RUTA 5 SUR SECTOR MOCOPULLI SIN NUMERO DALCAHUE;DALCAHUE;DE LOS LAGOS;
1535;LICEO POLIVALENTE DALCAHUE;AVENIDA MOCOPULLI 375 DALCAHUE;DALCAHUE;DE LOS LAGOS;
2872;COLEGIO PURISIMO CORAZON DE MARIA;IRARRAZABAL 420 FRESIA;FRESIA;DE LOS LAGOS;
1540;ESCUELA RURAL PARGA;GABRIELA MISTRAL 52 SECTOR RURAL PARGA, FRESIA;FRESIA;DE LOS LAGOS;
1541;ESCUELA SAN ANDRES;MAULE SIN NUMERO TEGUALDA;FRESIA;DE LOS LAGOS;
1537;LICEO CARLOS IBAÑEZ DEL CAMPO Y GIMNASIO;BERNARDO O'HIGGINS 210 FRESIA;FRESIA;DE LOS LAGOS;
3246;ESCUELA ARTURO ALESSANDRI PALMA;AVENIDA ALESSANDRI 286 FRUTILLAR;FRUTILLAR;DE LOS LAGOS;
1546;ESCUELA CLAUDIO MATTE;VIOLETA PARRA 207 FRUTILLAR ALTO;FRUTILLAR;DE LOS LAGOS;
1542;ESCUELA RURAL LOS LINARES DE CASMA;ROBERTO SIMPSON 130 CASMA;FRUTILLAR;DE LOS LAGOS;
1547;ESCUELA VICENTE PEREZ ROSALES;LUCILA GODOY SIN NUMERO POBLACION GABRIELA MISTRAL, FRUTILLAR;FRUTILLAR;DE LOS LAGOS;
8826;ESCUELA RURAL EL ESPOLON;SECTOR RURAL EL ESPOLON SIN NUMERO FUTALEUFU;FUTALEUFU;DE LOS LAGOS;
1548;LICEO BICENTENARIO FUTALEUFU;GABRIELA MISTRAL 132 FUTALEUFU;FUTALEUFU;DE LOS LAGOS;
1549;COLEGIO MAURICIO HITCHCOCK;LOS ALERCES SIN NUMERO CONTAO;HUALAIHUE;DE LOS LAGOS;
1552;ESCUELA RURAL 745 SEMILLERO;SECTOR RURAL ROLECHA SIN NUMERO  ;HUALAIHUE;DE LOS LAGOS;
1551;ESCUELA RURAL CATARATAS DEL ALERCE;HUALAIHUE PUERTO SIN NUMERO  ;HUALAIHUE;DE LOS LAGOS;
1550;LICEO HORNOPIREN;LAGO PINTO CONCHA 50 HORNOPIREN;HUALAIHUE;DE LOS LAGOS;
1556;ESCUELA INES GALLARDO ALVARADO;BAQUEDANO 1009 LLANQUIHUE;LLANQUIHUE;DE LOS LAGOS;
8855;ESCUELA RURAL COLEGUAL;RUTA V-30 KILOMETRO 7 SIN NUMERO COLEGUAL;LLANQUIHUE;DE LOS LAGOS;
1555;ESCUELA RURAL LOS PELLINES;LOS CARRERA 14 SECTOR LOS PELLINES, LLANQUIHUE;LLANQUIHUE;DE LOS LAGOS;
1554;LICEO POLITECNICO HOLANDA;AVENIDA LOS VOLCANES 650 LLANQUIHUE;LLANQUIHUE;DE LOS LAGOS;
1563;COLEGIO RAMON ANGEL JARA;PABLO TELLEZ 105 LOS MUERMOS;LOS MUERMOS;DE LOS LAGOS;
1559;ESCUELA RURAL CAÑITAS;CAMINO REAL SIN NUMERO CAÑITAS;LOS MUERMOS;DE LOS LAGOS;
1564;ESCUELA RURAL ESTAQUILLA;SECTOR ESTAQUILLA SIN NUMERO LOS MUERMOS;LOS MUERMOS;DE LOS LAGOS;
1562;LICEO PUNTA DE RIELES;BLANCO ENCALADA 199 LOS MUERMOS;LOS MUERMOS;DE LOS LAGOS;
1569;ESCUELA ENCARNACION OLIVARES;21 DE MAYO 404 MAULLIN;MAULLIN;DE LOS LAGOS;
1567;ESCUELA FRANCISCO CORTES OJEDA;ARTURO PRAT SIN NUMERO CARELMAPU;MAULLIN;DE LOS LAGOS;
1570;ESCUELA JOSE ABELARDO NUÑEZ;BALMACEDA 206 MAULLIN;MAULLIN;DE LOS LAGOS;
1059;LICEO DE NIÑAS;LINCOYAN 248  ;CONCEPCION;DEL BIOBIO;
1491;ESCUELA ANEXA;ALMIRANTE LATORRE 620 ANCUD;ANCUD;DE LOS LAGOS;
1568;ESCUELA RURAL DORILA AGUILA AGUILAR;LA PASADA SIN NUMERO  ;MAULLIN;DE LOS LAGOS;
1573;ESCUELA RURAL HILDA HUNQUEN;VICENTE CARCAMO SIN NUMERO QUENUIR;MAULLIN;DE LOS LAGOS;
1572;ESCUELA RURAL LOS ARCES;RUTA V-860, SECTOR RURAL SIN NUMERO OLMOPULLI;MAULLIN;DE LOS LAGOS;
1593;COLEGIO ARTISTICO SANTA CECILIA EDUCACION MEDIA;GREGORIA RAMIREZ 350 POBLACION MAXIMILIANO KOLBE, OSORNO;OSORNO;DE LOS LAGOS;
8927;COLEGIO EMPRENDER OSORNO;AVENIDA REPUBLICA 1396 POBLACION MIRASUR, RAHUE;OSORNO;DE LOS LAGOS;
1594;ESCUELA 88 CANADA;AREQUIPA ESQUINA GUATEMALA SIN NUMERO RAHUE;OSORNO;DE LOS LAGOS;
1601;ESCUELA CARLOS CONDELL;SANTA ISABEL 2159 POBLACION CARLOS CONDELL, RAHUE ALTO;OSORNO;DE LOS LAGOS;
1600;ESCUELA CLAUDIO ARRAU;POR LA RAZON O LA FUERZA 650 RAHUE BAJO;OSORNO;DE LOS LAGOS;
1578;ESCUELA DE ARTES Y CULTURA OSORNO Y GIMNASIO;AVENIDA JOSE IGNACIO ZENTENO 2471 OSORNO;OSORNO;DE LOS LAGOS;
1583;ESCUELA DEPORTIVA OSORNO (EX LAGO RUPANCO);RAFAEL SOTOMAYOR 415 OVEJERIA BAJO, OSORNO;OSORNO;DE LOS LAGOS;
1580;ESCUELA ESPAÑA;JULIO BUSCHMANN 2488 OSORNO;OSORNO;DE LOS LAGOS;
1581;ESCUELA ESPECIAL `ANA AICHELE CARRASCO`;EL ALBA SIN NUMERO ESQUINA ZENTENO, OSORNO;OSORNO;DE LOS LAGOS;
1596;ESCUELA FUNDACION PAUL HARRIS;CAUPOLICAN 58 RAHUE 2;OSORNO;DE LOS LAGOS;
1595;ESCUELA GARCIA HURTADO DE MENDOZA;JUAN DE DIOS HERNANDEZ SIN NUMERO RAHUE;OSORNO;DE LOS LAGOS;
1582;ESCUELA JUAN RICARDO SANCHEZ ASCENCIO;HEROES DE LA CONCEPCION SIN NUMERO ESQUINA LOS NARANJOS;OSORNO;DE LOS LAGOS;
1585;ESCUELA MEXICO DE MICHOACAN;PEDRO AGUIRRE CERDA 635 OSORNO;OSORNO;DE LOS LAGOS;
1586;ESCUELA MONSEÑOR FRANCISCO VALDES SUBERCASEAUX;CUYA 680 POBLACION NUEVA ESPERANZA, FRANCKE;OSORNO;DE LOS LAGOS;
1592;ESCUELA N° 46 ITALIA;VALPARAISO 617 RAHUE BAJO;OSORNO;DE LOS LAGOS;
1574;ESCUELA RURAL LUZ Y SABER;CAMINO OSORNO PUERTO OCTAY KILOMETRO 23 SIN NUMERO CANCURA, OSORNO;OSORNO;DE LOS LAGOS;
2873;ESCUELA RURAL PICHIL;SECTOR RURAL   PICHIL;OSORNO;DE LOS LAGOS;
1597;ESCUELA SOCIEDAD DEL SOCORRO DE SEÑORAS;12 DE OCTUBRE ESQUINA SEVILLA 1361 RAHUE ALTO NORTE;OSORNO;DE LOS LAGOS;
1577;ESCUELA SUIZA;FELIZARDO ASENJO 370 OVEJERIA, OSORNO;OSORNO;DE LOS LAGOS;
1575;GIMNASIOS COLEGIO SAN MATEO;BARROS ARANA 1361 OSORNO;OSORNO;DE LOS LAGOS;
1587;INSTITUTO COMERCIAL;LOS CARRERA 718 OSORNO;OSORNO;DE LOS LAGOS;
1589;LICEO ELEUTERIO RAMIREZ;RAMON FREIRE 752 OSORNO;OSORNO;DE LOS LAGOS;
1590;LICEO INDUSTRIAL OSORNO;GUILLERMO HOLLSTEIN 125 OSORNO;OSORNO;DE LOS LAGOS;
1599;LICEO RAHUE;AVENIDA PACIFICO 1360 RAHUE;OSORNO;DE LOS LAGOS;
1602;ESCUELA ROBERTO WHITE GESELL;RUTA INTERNACIONAL CH 235 KILOMETRO 72 SIN NUMERO PALENA;PALENA;DE LOS LAGOS;
90011;C.P. DE PUERTO MONTT;CAMINO A PARGUA  KM. 2,5 SECTOR ALTO BONITO  SIN NUMERO PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
1639;COLEGIO BOSQUEMAR;AVENIDA LOS NOTROS 1561 PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
1994;COLEGIO FAMILIA DE NAZARETH;AVENIDA TRINIDAD 954  ;LA FLORIDA;METROPOLITANA DE SANTIAGO;
10297;ESCUELA SANTA SARA;CAMINO INTERIOR SANTA SARA SIN NUMERO BATUCO;LAMPA;METROPOLITANA DE SANTIAGO;
1644;COLEGIO CREACIONES LA ARAUCANA;CANAL ALBATROS 5999 PUERTA SUR, PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
9023;COLEGIO DOMINGO SANTA MARIA;VALLE DE MARTE 2081 CARDONAL, MIRASOL;PUERTO MONTT;DE LOS LAGOS;
1606;COLEGIO LOS ALERCES;LOS RAULIES E1 ALERCE NORTE;PUERTO MONTT;DE LOS LAGOS;
1607;COLEGIO NUEVA ALERCE;ABTAO 1000 NAVEGANDO EL FUTURO 3, ALERCE SUR;PUERTO MONTT;DE LOS LAGOS;
1641;COLEGIO SALESIANO PADRE JOSE FERNANDEZ PEREZ;LOS MELIES 368 POBLACION PADRE JOSE FERNANDEZ, PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
1657;COLEGIO SANTO TOMAS;SARGENTO SILVA 530 PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
3123;COLEGIO TECNICO PROFESIONAL PIEDRA AZUL;KILOMETRO 15 CARRETERA AUSTRAL SIN NUMERO SECTOR PIEDRA AZUL;PUERTO MONTT;DE LOS LAGOS;
1631;ESCUELA 10 ANGELMO;VICENTE PEREZ ROSALES 238 PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
3329;LICEO DOCTOR VICTOR RIOS RUIZ;ARTURO PRAT 105  ;ANTUCO;DEL BIOBIO;
1632;ESCUELA 7 ARABE-SIRIA;MIRAFLORES ESQUINA LINARES SIN NUMERO PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
1627;ESCUELA BASICA GABRIELA MISTRAL;PEDRO AGUIRRE CERDA SIN NUMERO POBLACION ALERCE, PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
1604;ESCUELA BASICA KIMUN LAWAL;VICTOR JARA SIN NUMERO VIA SUR, ALERCE;PUERTO MONTT;DE LOS LAGOS;
1633;ESCUELA BASICA LAS CAMELIAS;AVENIDA ALESSANDRI 1080 PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
1700;ESCUELA RURAL MONTEMAR;SECTOR RURAL SUR SIN NUMERO MONTEMAR;QUEMCHI;DE LOS LAGOS;
1648;ESCUELA BASICA LICARAYEN;CARILEMU 673 ESQUINA ICALMA, PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
1616;ESCUELA CAPITAN ARTURO PRAT CHACON;HUILLINCO SIN NUMERO PICHI PELLUCO;PUERTO MONTT;DE LOS LAGOS;
1642;ESCUELA CAYENEL;LOS ARTESANOS 2450 VILLA ARTESANIA, PUERTO MONTT;PUERTO MONTT;DE LOS LAGOS;
